Change,Description,MultipleCompulsory,Department,Number,Grade,Class,Name,Url,Credit,YearSemester,CompulsoryElective,Restrict,Select,Selected,Remaining,Teacher,Room,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Context,Programs,EMI
,,,中學學程,STP267,0,,語文領域-國語文專長教學實習,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP267&Crsname=語文領域-國語文專長教學實習,2,期,選,50,0,0,50,陳威霖,社SS 2005,,,,89,,,,《講授類》本課程為教育學程課程，修畢「語文領域-國語文專長教材教法」始得修習本課程,,0
,,,中學學程,STP269,0,,語文領域-英語文專長教學實習,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP269&Crsname=語文領域-英語文專長教學實習,2,期,選,50,0,0,50,莊雪華,社SS 2005,,34,,,,,,《講授類》本課程為教育學程課程，修畢「語文領域-英語文專長教材教法」始得修習本課程,,0
,,,中學學程,STP271,0,,數學領域-數學專長教學實習,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP271&Crsname=數學領域-數學專長教學實習,2,期,選,50,0,0,50,黃家杰,社SS 2006,,34,,,,,,《講授類》本課程為教育學程課程，修畢「數學領域-數學專長教材教法」始得修習本課程,,0
,,,中學學程,STP273,0,,社會領域-公民與社會專長教學實習,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP273&Crsname=社會領域-公民與社會專長教學實習,2,期,選,50,0,0,50,張至慶,社SS 2002-2,,,,,78,,,《講授類》本課程為教育學程課程，修畢「社會領域-公民與社會專長教材教法」始得修習本課程,,0
,,,中學學程,STP275,0,,藝術領域-音樂藝術專長教學實習,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP275&Crsname=藝術領域-音樂藝術專長教學實習,2,期,選,50,0,0,50,王琦,社SS 2006,,,34,,,,,《講授類》本課程為教育學程課程，修畢「藝術領域-音樂藝術專長教材教法」始得修習本課程,,0
,,,中學學程,STP277,0,,藝術領域-表演藝術專長教學實習,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP277&Crsname=藝術領域-表演藝術專長教學實習,2,期,選,50,0,0,50,鍾佳玲,社SS 2004-3,,,12,,,,,《講授類》本課程為教育學程課程，修畢「藝術領域-表演藝術專長教材教法」始得修習本課程,,0
,,,中學學程,STP280,0,,社會領域探究與實作專題,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP280&Crsname=社會領域探究與實作專題,2,期,選,50,0,0,50,張至慶,社SS 2006,,,,34,,,,《講授類》本課程為教育學程課程STREAM永續發展培力微學程,'STREAM永續發展培力微學程',0
,,,中學學程,STP282,0,,教育專業精進,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP282&Crsname=教育專業精進,2,期,選,50,0,0,50,陳利銘,社SS 2001,12,,,,,,,《講授類》本課程為教育學程課程，需修畢(含當學期修習)教育基礎必選課程至少4學分、教育方法必選課程至少4學分，選修至少4學分，共計12學分，始得修習「教育專業精進」。,,0
,,,中學學程,STP285,0,,雙語教學實習,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP285&Crsname=雙語教學實習,2,期,選,50,0,0,50,張宇慧,社SS 2005,78,,,,,,,《講授類》本課程為教育學程課程，修畢《雙語教材教法》始得選修本課程,,0
,,*,中文思辨與表達,GECE104,0,,中文思辨與表達（二）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GECE104&Crsname=中文思辨與表達（二）,3,期,必,45,0,0,45,杜佳倫,文LA 1002,,234,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。中文創意跨域應用整合學程,'中文創意跨域應用整合學程',0
,,*,中文思辨與表達,GECE104A,0,,中文思辨與表達（二）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GECE104A&Crsname=中文思辨與表達（二）,3,期,必,45,0,0,45,吳孟謙,理SC 0014,,234,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。中文創意跨域應用整合學程,'中文創意跨域應用整合學程',0
,,*,中文思辨與表達,GECE104B,0,,中文思辨與表達（二）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GECE104B&Crsname=中文思辨與表達（二）,3,期,必,45,0,0,45,莫加南,管CM 3019,,234,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。中文創意跨域應用整合學程,'中文創意跨域應用整合學程',0
,,*,中文思辨與表達,GECE104C,0,,中文思辨與表達（二）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GECE104C&Crsname=中文思辨與表達（二）,3,期,必,45,0,0,45,黃羽璿,工EC 2007,,234,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。中文創意跨域應用整合學程,'中文創意跨域應用整合學程',0
,,*,中文思辨與表達,GECE104D,0,,中文思辨與表達（二）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GECE104D&Crsname=中文思辨與表達（二）,3,期,必,45,0,0,45,賴佩暄,管CM 4078,,234,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。中文創意跨域應用整合學程,'中文創意跨域應用整合學程',0
,,*,中文思辨與表達,GECE104E,0,,中文思辨與表達（二）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GECE104E&Crsname=中文思辨與表達（二）,3,期,必,45,0,0,45,黃郁晴,工EN 0032,,234,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。中文創意跨域應用整合學程,'中文創意跨域應用整合學程',0
,,*,中文思辨與表達,GECE104F,0,,中文思辨與表達（二）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GECE104F&Crsname=中文思辨與表達（二）,3,期,必,45,0,0,45,蔡美智,文LA 1002,,567,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。中文創意跨域應用整合學程,'中文創意跨域應用整合學程',0
,,*,中文思辨與表達,GECE104G,0,,中文思辨與表達（二）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GECE104G&Crsname=中文思辨與表達（二）,3,期,必,45,0,0,45,黃冠雲,理SC 1001,,567,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。中文創意跨域應用整合學程,'中文創意跨域應用整合學程',0
,,*,中文思辨與表達,GECE104H,0,,中文思辨與表達（二）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GECE104H&Crsname=中文思辨與表達（二）,3,期,必,45,0,0,45,謝薇娜,工EC 2007,,567,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。中文創意跨域應用整合學程,'中文創意跨域應用整合學程',0
,,*,中文思辨與表達,GECE104I,0,,中文思辨與表達（二）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GECE104I&Crsname=中文思辨與表達（二）,3,期,必,45,0,0,45,賴佩暄,管CM 4078,,567,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。中文創意跨域應用整合學程,'中文創意跨域應用整合學程',0
,,*,中文思辨與表達,GECE104J,0,,中文思辨與表達（二）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GECE104J&Crsname=中文思辨與表達（二）,3,期,必,45,0,0,45,顧永光,管CM 1019,,567,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。中文創意跨域應用整合學程,'中文創意跨域應用整合學程',0
,,*,中文思辨與表達,GECE104K,0,,中文思辨與表達（二）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GECE104K&Crsname=中文思辨與表達（二）,3,期,必,45,0,0,45,黃郁晴,工EN 0032,,567,,,,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。中文創意跨域應用整合學程,'中文創意跨域應用整合學程',0
,,*,中文思辨與表達,GECE104L,0,,中文思辨與表達（二）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GECE104L&Crsname=中文思辨與表達（二）,3,期,必,45,0,0,45,黃郁晴,工EC 9032-2,,,,,234,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。中文創意跨域應用整合學程,'中文創意跨域應用整合學程',0
,,*,中文思辨與表達,GECE104M,0,,中文思辨與表達（二）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GECE104M&Crsname=中文思辨與表達（二）,3,期,必,45,0,0,45,黃郁晴,工EC 9032-2,,,,,567,,,《講授類》1、適用111學年度(含)以後入學: 中文思辨與表達(一)、(二)課程，於畢業前僅修習其中1門即可。 2、本課程「加退選期間」額滿不予加簽。中文創意跨域應用整合學程,'中文創意跨域應用整合學程',0
,,,英文初級,GEEN004,0,,英文初級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEEN004&Crsname=英文初級,0,期,必,35,0,0,35,陳瑞華,理SC 1003,,,,,234,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計※英語授課,,1
,,,英文中級,GEEN116,0,,英文中級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEEN116&Crsname=英文中級,3,期,必,35,0,0,35,曾千紋,工EC 6016,,234,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計※英語授課,,1
,,,英文中級,GEEN116A,0,,英文中級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEEN116A&Crsname=英文中級,3,期,必,35,0,0,35,曾千紋,工EC 6016,,567,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課,,1
,,,英文中級,GEEN116B,0,,英文中級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEEN116B&Crsname=英文中級,3,期,必,35,0,0,35,溫惠珍,管CM 2025,,567,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課,,1
,,,英文中級,GEEN116C,0,,英文中級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEEN116C&Crsname=英文中級,3,期,必,35,0,0,35,戴藤懋,海ME 3004,,,,,234,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計※英語授課,,1
,,,英文中高級,GEEN117,0,,英文中高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEEN117&Crsname=英文中高級,3,期,必,35,0,0,35,戴藤懋,海ME 3004,,234,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課,,1
,,,英文中高級,GEEN117A,0,,英文中高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEEN117A&Crsname=英文中高級,3,期,必,35,0,0,35,曾彩楣,社SS 3006,,234,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課,,1
,,,英文中高級,GEEN117B,0,,英文中高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEEN117B&Crsname=英文中高級,3,期,必,35,0,0,35,陳瑞華,理SC 1003,,234,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課,,1
,,,英文中高級,GEEN117C,0,,英文中高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEEN117C&Crsname=英文中高級,3,期,必,35,0,0,35,陳瑞華,理SC 1003,,567,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課,,1
,,,英文中高級,GEEN117D,0,,英文中高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEEN117D&Crsname=英文中高級,3,期,必,35,0,0,35,盧家達,海ME 3004,,567,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課,,1
,,,英文中高級,GEEN117E,0,,英文中高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEEN117E&Crsname=英文中高級,3,期,必,35,0,0,35,陳楓旻,社SS 3006,,567,,,,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課,,1
,,,英文中高級,GEEN117F,0,,英文中高級,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=GEEN117F&Crsname=英文中高級,3,期,必,35,0,0,35,曾彩楣,管CM 2025,,,,,234,,,《講授類》若未依「國立中山大學學士班學生英文能力培育辦法」選課，修習及格學分不計 ※英語授課,,1
