Change,Description,MultipleCompulsory,Department,Number,Grade,Class,Name,Url,Credit,YearSemester,CompulsoryElective,Restrict,Select,Selected,Remaining,Teacher,Room,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Context
異動,更正備註說明9/15,,中學學程,STP268,0,,語文領域-英語文專長教材教法,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=STP268&Crsname=語文領域-英語文專長教材教法,2,期,選,50,0,8,42,莊雪華,社SS 2005,,34,,,,,,《講授類》本課程為中等教育學程課程，需修畢(含當學期修習)教育基礎必選課程至少4學分、教育方法必選課程至少4學分，選修至少4學分，共計12學分，始得修習本課程。雙語授課。
,,,中學學程,STP270,0,,數學領域-數學專長教材教法,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=STP270&Crsname=數學領域-數學專長教材教法,2,期,選,50,0,7,43,梁淑坤,社SS 2006,,34,,,,,,《講授類》本課程為中等教育學程課程，需修畢(含當學期修習)教育基礎必選課程至少4學分、教育方法必選課程至少4學分，選修至少4學分，共計12學分，始得修習本課程。
異動,更換時間9/7,,中學學程,STP272,0,,社會領域-公民與社會專長教材教法,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=STP272&Crsname=社會領域-公民與社會專長教材教法,2,期,選,50,0,2,48,張至慶,社SS 2006,,,,,78,,,《講授類》本課程為中等教育學程課程，需修畢(含當學期修習)教育基礎必選課程至少4學分、教育方法必選課程至少4學分，選修至少4學分，共計12學分，始得修習本課程。
異動,修正備註說明9/15,,中學學程,STP274,0,,藝術領域-音樂藝術專長教材教法,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=STP274&Crsname=藝術領域-音樂藝術專長教材教法,2,期,選,50,0,10,40,王琦,社SS 2006,,,34,,,,,《講授類》本課程為中等教育學程課程，需修畢(含當學期修習)教育基礎必選課程至少4學分、教育方法必選課程至少4學分，選修至少4學分，共計12學分，始得修習本課程。雙語授課。
異動,修正備註說明9/15,,中學學程,STP276,0,,藝術領域-表演藝術專長教材教法,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=STP276&Crsname=藝術領域-表演藝術專長教材教法,2,期,選,50,0,5,45,鍾佳玲,社SS 2002-2,,,12,,,,,《講授類》本課程為中等教育學程課程，需修畢(含當學期修習)教育基礎必選課程至少4學分、教育方法必選課程至少4學分，選修至少4學分，共計12學分，始得修習本課程。雙語授課。
,,,中學學程,STP283,0,,課程發展與設計（雙語）,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=STP283&Crsname=課程發展與設計（雙語）,2,期,選,50,0,18,32,鄭智玲,社SS 2005,,,,,34,,,《講授類》本課程為教育學程課程
異動,更換教室9/8,,中學學程,STP284,0,,雙語教材教法,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=STP284&Crsname=雙語教材教法,2,期,選,50,0,14,36,張宇慧,社SS 2006,89,,,,,,,《講授類》本課程為教育專業課程，雙語授課
異動,調整名額8/16,,中學學程,STP286,0,,和諧溝通與衝突解決,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=STP286&Crsname=和諧溝通與衝突解決,2,期,選,20,1,11,9,陳利銘,社SS 2006,34,,,,,,,《講授類》本課程為教育學程課程
新增,9/19,,外籍華語,CLC101,0,,入門華語,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=CLC101&Crsname=入門華語,3,期,選,50,0,74,-24,華語中心兼任教師,"國IR 5014、國IR 5021,國IR 5015、國IR 5023,國IR 5018、國IR 4006-2,國IR 5020",,B5,,B5,,,,《講授類》限國際交換學生修習
新增,9/19,,外籍華語,CLC101A,0,,入門華語,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=1&CrsDat=CLC101A&Crsname=入門華語,3,期,選,50,0,6,44,華語中心兼任教師,"國IR 4006-2,國IR 5015",B5,,B5,,,,,《講授類》限國際交換學生修習
