Change,Description,MultipleCompulsory,Department,Number,Grade,Class,Name,Url,Credit,YearSemester,CompulsoryElective,Restrict,Select,Selected,Remaining,Teacher,Room,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Context,Programs,EMI
,,,中學學程,STP101,0,不分班,教育心理學,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP101&Crsname=教育心理學,2,期,選,50,0,16,34,馮雅群,社SS 2005,,,,34,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP102,0,不分班,教育社會學,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP102&Crsname=教育社會學,2,期,選,50,1,34,16,周珮儀,社SS 2006,,67,,,,,,《講授類》本課程為教育學程課程,,0
異動,更換時間1/19,,中學學程,STP104,0,不分班,教學原理,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP104&Crsname=教學原理,2,期,選,50,0,22,28,張宇慧,社SS 3006,89,,,,,,,《講授類》本課程為教育專業課程【雙語授課】,,0
,,,中學學程,STP109,0,不分班,學校行政,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP109&Crsname=學校行政,2,期,選,50,1,2,48,林靜慧,社SS 2004-3,,,,34,,,,《研討類》本課程為教育學程課程,,0
,,,中學學程,STP110,0,不分班,教育概論,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP110&Crsname=教育概論,2,期,選,50,0,20,30,張至慶,社SS 2006,,,,67,,,,《講授類》本課程為教育學程課程【雙語授課】環境教育學程,'環境教育學程',0
,,,中學學程,STP114,0,不分班,特殊教育導論,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP114&Crsname=特殊教育導論,3,期,選,50,0,8,42,鍾素香,社SS 2006,,,CDE,,,,,《講授類》本課程為教育學程課程,,0
異動,更換教室2/15,,中學學程,STP121,0,不分班,性別教育,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP121&Crsname=性別教育,2,期,選,50,0,16,34,林靜慧,社SS 2002-1,,,34,,,,,《講授類》本課程為教育學程課程性別與社會微學程性別與管理微學程性別研究學程,"'性別與社會微學程', '性別與管理微學程', '性別研究學程'",0
異動,更換時間2/13,,中學學程,STP129,0,不分班,教育研究法,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP129&Crsname=教育研究法,2,期,選,50,0,2,48,林靜慧,社SS 2004-3,56,,,,,,,《講授類》本課程為教育學程課程,,0
異動,更換教室2/16,,中學學程,STP151,0,不分班,倫理學,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP151&Crsname=倫理學,2,期,選,50,0,8,42,陳威霖,社SS 2004-3,,,,67,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP166,0,不分班,生命教育,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=111&SEM=2&CrsDat=STP166&Crsname=生命教育,2,期,選,10,0,6,4,陳利銘,社SS 2001,34,,,,,,,《講授類》本課程為教育學程課程,,0
