Change,Description,MultipleCompulsory,Department,Number,Grade,Class,Name,Url,Credit,YearSemester,CompulsoryElective,Restrict,Select,Selected,Remaining,Teacher,Room,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Context,Programs,EMI
異動,更換時間1/15,,中學學程,STP101,0,不分班,教育心理學,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=STP101&Crsname=教育心理學,2,期,選,50,9,17,33,馮雅群,社SS 2005,,,,23,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP102,0,不分班,教育社會學,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=STP102&Crsname=教育社會學,2,期,選,50,0,17,33,周珮儀,社SS 2006,,67,,,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP103,0,不分班,教育哲學,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=STP103&Crsname=教育哲學,2,期,選,50,7,8,42,張至慶,社SS 2006,,,,89,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP105,0,不分班,輔導原理與實務,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=STP105&Crsname=輔導原理與實務,2,期,選,50,2,11,39,鄭雯,社SS 2005,89,,,,,,,《講授類》本課程為教育學程課程,,0
異動,確認教師1/15,,中學學程,STP110,0,不分班,教育概論,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=STP110&Crsname=教育概論,2,期,選,50,2,8,42,陳菁徽,社SS 2002-1,,,,,34,,,《講授類》本課程為教育學程課程。雙語授課。環境教育學程,'環境教育學程',0
異動,更換時間1/10,,中學學程,STP169,0,不分班,資訊媒體素養與倫理,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=STP169&Crsname=資訊媒體素養與倫理,2,期,選,50,1,12,38,張宇慧,社SS 3006,89,,,,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP170,0,不分班,心理學,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=STP170&Crsname=心理學,3,期,選,10,5,4,6,"邱文彬,鄭雯",社SS 2001,567,,,,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP173,0,不分班,教育行政,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=STP173&Crsname=教育行政,2,期,選,50,2,13,37,王進焱,社SS 2005,,,,,34,,,《講授類》本課程為教育學程課程,,0
新增,1/15,,中學學程,STP174,0,不分班,環境教育,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=STP174&Crsname=環境教育,2,期,選,50,0,2,48,謝百淇,社SS 2005,34,,,,,,,《講授類》本課程為教育學程。永續發展與社會創新學程,'永續發展與社會創新學程',0
新增,1/10,,中學學程,STP176,0,不分班,學習評量,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=STP176&Crsname=學習評量,2,期,選,50,1,21,29,"張宇慧,施慶麟",社SS 3006,12,,,,,,,《講授類》本課程為教育學程課程。雙語授課。,,0
新增,1/15,,中學學程,STP180,0,不分班,資訊教育,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=STP180&Crsname=資訊教育,2,期,選,50,1,7,43,陳菁徽,社SS 2006,34,,,,,,,《講授類》,,0
,,,中學學程,STP182,0,不分班,探究與實作,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=STP182&Crsname=探究與實作,2,期,選,50,1,10,40,張宇慧,社SS 3006,,89,,,,,,《講授類》本課程為教育學程課程STREAM永續發展培力微學程,'STREAM永續發展培力微學程',0
異動,更換時間1/15,,中學學程,STP259,0,不分班,職業教育與生涯規劃,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=STP259&Crsname=職業教育與生涯規劃,2,期,選,50,0,28,22,鄭明長,社SS 2006,67,,,,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP261,0,不分班,自然領域-化學科/化學專長教學實習,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=STP261&Crsname=自然領域-化學科/化學專長教學實習,2,期,選,50,1,2,48,李偉廷,社SS 2002-2,,,A1,,,,,《講授類》本課程為教育學程課程，修畢「自然領域-化學科/化學專長教材教法」始得修習本課程,,0
,,,中學學程,STP263,0,不分班,自然領域-物理科/物理專長教學實習,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=STP263&Crsname=自然領域-物理科/物理專長教學實習,2,期,選,50,0,1,49,嚴祖強,理SC 2006,56,,,,,,,《講授類》本課程為教育學程課程，修畢「自然領域-物理科/物理專長教材教法」始得修習本課程,,0
,,,中學學程,STP265,0,不分班,自然領域-生物科/生物專長教學實習,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=STP265&Crsname=自然領域-生物科/生物專長教學實習,2,期,選,50,0,2,48,林吟珊,社SS 2002-2,89,,,,,,,《講授類》本課程為教育學程課程，修畢「自然領域-生物科/生物專長教材教法」始得修習本課程,,0
異動,更換教室1/4,,中學學程,STP267,0,不分班,語文領域-國語文專長教學實習,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=2&CrsDat=STP267&Crsname=語文領域-國語文專長教學實習,2,期,選,50,0,4,46,陳威霖,社SS 2005,,,,89,,,,《講授類》本課程為教育學程課程，修畢「語文領域-國語文專長教材教法」始得修習本課程,,0
