Change,Description,MultipleCompulsory,Department,Number,Grade,Class,Name,Url,Credit,YearSemester,CompulsoryElective,Restrict,Select,Selected,Remaining,Teacher,Room,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Context,Programs,EMI
,,,中學學程,STP103,0,不分班,教育哲學,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=1&CrsDat=STP103&Crsname=教育哲學,2,期,選,50,0,0,50,張至慶,社SS 2006,,,,89,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP104,0,不分班,教學原理,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=1&CrsDat=STP104&Crsname=教學原理,2,期,選,50,0,0,50,陳威霖,社SS 2005,,,,67,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP105,0,不分班,輔導原理與實務,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=1&CrsDat=STP105&Crsname=輔導原理與實務,2,期,選,50,0,0,50,鄭雯,社SS 2001,,34,,,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP117,0,不分班,班級經營,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=1&CrsDat=STP117&Crsname=班級經營,2,期,選,50,0,0,50,陳利銘,社SS 2001,,12,,,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP118,0,不分班,課程發展與設計,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=1&CrsDat=STP118&Crsname=課程發展與設計,2,期,選,50,0,0,50,周珮儀,社SS 2006,,67,,,,,,《講授類》本課程為教育學程課程環境教育學程,'環境教育學程',0
,,,中學學程,STP120,0,不分班,青少年心理學,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=1&CrsDat=STP120&Crsname=青少年心理學,2,期,選,50,0,0,50,邱文彬,社SS 2001,34,,,,,,,《講授類》本課程為教育學程課程,,0
異動,更換時間及教室8/17,,中學學程,STP123,0,不分班,教學媒體與運用,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=1&CrsDat=STP123&Crsname=教學媒體與運用,2,期,選,50,0,0,50,張宇慧,社SS 3006,B,9,,,,,,《講授類》本課程為教育學程課程,,0
新增,8/1,,中學學程,STP132,0,不分班,親職教育,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=1&CrsDat=STP132&Crsname=親職教育,2,期,選,50,0,0,50,宋宥賢,社SS 2006,,34,,,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP133,0,不分班,比較教育,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=1&CrsDat=STP133&Crsname=比較教育,2,期,選,50,0,0,50,林靜慧,社SS 2002-2,34,,,,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP152,0,不分班,公民教育,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=112&SEM=1&CrsDat=STP152&Crsname=公民教育,2,期,選,50,0,0,50,林靜慧,社SS 2002-1,,,34,,,,,《講授類》本課程為教育學程課程,,0
