Change,Description,MultipleCompulsory,Department,Number,Grade,Class,Name,Url,Credit,YearSemester,CompulsoryElective,Restrict,Select,Selected,Remaining,Teacher,Room,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Context,Programs,EMI
新增,7/15,,中學學程,STP101,0,不分班,教育心理學,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP101&Crsname=教育心理學,2,期,選,50,6,37,13,馮雅群,"三5,6(社SS 2001)",,,56,,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP104,0,不分班,教學原理,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP104&Crsname=教學原理,2,期,選,50,3,44,6,張至慶,"四6,7(社SS 2006)",,,,67,,,,《講授類》本課程為教育專業課程，雙語授課,,0
異動,修正備註文字8/6,,中學學程,STP117,0,不分班,班級經營,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP117&Crsname=班級經營,2,期,選,50,5,42,8,陳利銘,"四3,4(社SS 2005)",,,,34,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP118,0,不分班,課程發展與設計,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP118&Crsname=課程發展與設計,2,期,選,50,2,19,31,周珮儀,"二6,7(社SS 2006)",,67,,,,,,《講授類》本課程為教育學程課程環境教育學程,'環境教育學程',0
,,,中學學程,STP120,0,不分班,青少年心理學,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP120&Crsname=青少年心理學,2,期,選,50,4,32,18,邱文彬,"一3,4(社SS 2005)",34,,,,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP121,0,不分班,性別教育,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP121&Crsname=性別教育,2,期,選,50,5,18,32,林靜慧,"三3,4(社SS 2002-2)",,,34,,,,,《講授類》本課程為教育學程課程性別研究學程性別與社會微學程性別與管理微學程,"'性別研究學程', '性別與社會微學程', '性別與管理微學程'",0
,,,中學學程,STP123,0,不分班,教學媒體與運用,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP123&Crsname=教學媒體與運用,2,期,選,50,0,10,40,"張宇慧,陳菁徽",二2(社SS 2006) 二8(社SS 3006),,28,,,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP133,0,不分班,比較教育,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP133&Crsname=比較教育,2,期,選,50,2,7,43,林靜慧,"一5,6(社SS 2002-2)",56,,,,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP168,0,不分班,學習心理學,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP168&Crsname=學習心理學,2,期,選,50,4,18,32,宋宥賢,"二3,4(社SS 2002-2)",,34,,,,,,《講授類》本課程為教育學程課程,,0
,,,中學學程,STP170,0,不分班,心理學,https://selcrs.nsysu.edu.tw/menu5/showoutline.asp?SYEAR=113&SEM=1&CrsDat=STP170&Crsname=心理學,3,期,選,10,10,10,0,"邱文彬,馮雅群","一5,6,7(社SS 2001)",567,,,,,,,《講授類》本課程為教育學程課程,,0
